update,global_step,elapsed_s,train_return,eval_argmax,eval_sample,policy_loss,value_loss,entropy,approx_kl,lr
1,2560,1.7,-0.8597,,,-0.04202,0.00649,3.66866,0.01988,0.0005
2,5120,1.9,-0.7928,,,-0.06929,0.00584,3.62226,0.02158,0.0004974
3,7680,2.0,-0.7542,,,-0.01195,0.0037,3.5594,0.02375,0.0004949
4,10240,2.2,-0.7156,,,-0.00993,0.00273,3.42531,0.05163,0.0004923
5,12800,2.3,-0.6439,,,0.00042,0.00255,3.32699,0.02357,0.0004897
6,15360,2.5,-0.6124,,,-0.05775,0.00201,3.20176,0.02526,0.0004872
7,17920,2.6,-0.5918,,,-0.02257,0.00209,3.11627,0.02185,0.0004846
8,20480,3.2,-0.5722,-0.964,-0.5521,-0.01099,0.00211,2.99928,0.02455,0.0004821
9,23040,3.3,-0.5581,,,-0.07772,0.0023,2.86452,0.0193,0.0004795
10,25600,3.5,-0.554,,,-0.03759,0.00301,2.73144,0.0149,0.0004769
11,28160,3.6,-0.5314,,,-0.02146,0.00279,2.53635,0.02284,0.0004744
12,30720,3.8,-0.5218,,,0.01141,0.00354,2.35961,0.02487,0.0004718
13,33280,3.9,-0.4987,,,-0.00814,0.0022,2.16841,0.0182,0.0004692
14,35840,4.0,-0.4897,,,-0.00763,0.00229,2.05526,0.01492,0.0004667
15,38400,4.2,-0.4787,,,-0.00417,0.00175,1.90152,0.01544,0.0004641
16,40960,4.7,-0.4737,-0.516,-0.4437,0.01923,0.00196,1.78976,0.01556,0.0004615
17,43520,4.8,-0.4555,,,0.00904,0.00162,1.64679,0.01114,0.000459
18,46080,5.0,-0.4534,,,-0.03903,0.00152,1.5379,0.02423,0.0004564
19,48640,5.1,-0.4563,,,-0.01588,0.0018,1.45221,0.01556,0.0004538
20,51200,5.3,-0.4373,,,-0.00089,0.00165,1.40364,0.016,0.0004513
21,53760,5.4,-0.4367,,,0.0055,0.00141,1.3566,0.01544,0.0004487
22,56320,5.6,-0.441,,,-0.01558,0.0016,1.30593,0.00565,0.0004462
23,58880,5.7,-0.4334,,,-0.02871,0.00123,1.25644,0.00567,0.0004436
24,61440,6.2,-0.4369,-0.515,-0.4165,0.0044,0.00139,1.21865,0.00543,0.000441
25,64000,6.3,-0.428,,,-0.01837,0.00125,1.15507,0.01149,0.0004385
26,66560,6.5,-0.4292,,,-0.00573,0.00111,1.12487,0.00629,0.0004359
27,69120,6.6,-0.4261,,,0.01996,0.00132,1.09578,0.00558,0.0004333
28,71680,6.7,-0.4239,,,0.002,0.00103,1.07302,0.00398,0.0004308
29,74240,6.9,-0.4255,,,0.03439,0.00103,1.08304,0.00939,0.0004282
30,76800,7.0,-0.4251,,,0.00174,0.00134,1.06161,0.01312,0.0004256
31,79360,7.1,-0.4207,,,-0.0062,0.00095,1.0584,0.01217,0.0004231
32,81920,7.7,-0.4189,-0.413,-0.4149,0.01037,0.00096,1.04694,0.00625,0.0004205
33,84480,7.8,-0.4178,,,-0.01318,0.00097,1.0432,0.00799,0.0004179
34,87040,8.0,-0.4157,,,0.00106,0.00092,1.02157,0.00459,0.0004154
35,89600,8.1,-0.418,,,0.01194,0.00094,0.99929,0.00204,0.0004128
36,92160,8.3,-0.4173,,,0.01458,0.00085,1.00298,0.00507,0.0004103
37,94720,8.4,-0.4149,,,0.00076,0.00082,0.9855,0.00362,0.0004077
38,97280,8.5,-0.413,,,-0.00482,0.0009,0.98017,0.01107,0.0004051
39,99840,8.7,-0.4094,,,-0.01922,0.00074,0.99696,0.0198,0.0004026
40,102400,9.1,-0.4101,-0.44,-0.4038,-0.02257,0.00083,1.00589,0.0183,0.0004
41,104960,9.3,-0.4125,,,-0.01382,0.0007,1.00256,0.01026,0.0003974
42,107520,9.4,-0.4115,,,0.01255,0.00075,1.01583,0.00448,0.0003949
43,110080,9.5,-0.4085,,,-0.00842,0.00067,1.00209,0.00209,0.0003923
44,112640,9.7,-0.4055,,,0.01964,0.00063,1.01373,0.00278,0.0003897
45,115200,9.8,-0.406,,,-0.02628,0.00064,1.00395,0.00879,0.0003872
46,117760,9.9,-0.4034,,,0.01786,0.00063,1.01147,0.00431,0.0003846
47,120320,10.1,-0.3995,,,-0.00715,0.0007,1.02074,0.00903,0.0003821
48,122880,10.5,-0.3983,-0.414,-0.3879,-0.04901,0.00067,1.01212,0.0044,0.0003795
49,125440,10.7,-0.3948,,,0.00122,0.00064,0.99836,0.0024,0.0003769
50,128000,10.8,-0.3928,,,-0.00101,0.00068,1.00216,0.00619,0.0003744
51,130560,10.9,-0.392,,,-0.01529,0.00068,1.01665,0.00532,0.0003718
52,133120,11.1,-0.39,,,0.02177,0.00067,1.02843,0.0049,0.0003692
53,135680,11.2,-0.3882,,,-0.01374,0.00056,1.01915,0.00502,0.0003667
54,138240,11.4,-0.3863,,,0.00216,0.0006,1.03397,0.01341,0.0003641
55,140800,14.5,-0.3864,,,0.01831,0.00059,1.05159,0.00757,0.0003615
56,143360,14.9,-0.3898,-0.414,-0.3799,-0.0251,0.00059,1.0111,0.005,0.000359
57,145920,15.0,-0.3849,,,0.00414,0.00055,0.99638,0.00644,0.0003564
58,148480,15.2,-0.3855,,,-0.01144,0.00084,0.9837,0.00651,0.0003538
59,151040,15.3,-0.3842,,,-0.01787,0.00061,0.9824,0.00666,0.0003513
60,153600,15.5,-0.3831,,,0.00546,0.00056,0.98902,0.00968,0.0003487
61,156160,15.6,-0.3815,,,0.00178,0.0005,1.00324,0.00458,0.0003462
62,158720,15.7,-0.3818,,,0.00111,0.00046,0.99814,0.00807,0.0003436
63,161280,15.9,-0.3839,,,0.01122,0.0005,0.97742,0.00789,0.000341
64,163840,16.3,-0.3829,-0.415,-0.3736,-0.03893,0.00045,0.99416,0.0039,0.0003385
65,166400,16.5,-0.3839,,,0.04556,0.0008,0.97919,0.00411,0.0003359
66,168960,16.6,-0.3856,,,-0.00015,0.00072,0.97297,0.00324,0.0003333
67,171520,16.7,-0.3821,,,0.04329,0.00043,0.9883,0.00841,0.0003308
68,174080,16.9,-0.3782,,,-0.01168,0.00041,0.95128,0.00991,0.0003282
69,176640,17.0,-0.3801,,,0.00523,0.00046,0.95515,0.00171,0.0003256
70,179200,17.2,-0.3831,,,-0.02171,0.00046,0.92194,0.00536,0.0003231
71,181760,17.3,-0.3832,,,-0.00419,0.00042,0.93604,0.00447,0.0003205
72,184320,17.8,-0.3827,-0.415,-0.3727,-0.0192,0.00057,0.93594,0.00265,0.0003179
73,186880,17.9,-0.3781,,,0.01799,0.00035,0.95149,0.00291,0.0003154
74,189440,18.0,-0.3782,,,0.0056,0.00041,0.92285,0.00415,0.0003128
75,192000,18.2,-0.3803,,,-0.04755,0.00039,0.93863,0.00489,0.0003103
76,194560,18.3,-0.3793,,,-0.02474,0.00036,0.93488,0.00772,0.0003077
77,197120,18.5,-0.3779,,,-0.02513,0.00036,0.92736,0.0064,0.0003051
78,199680,18.6,-0.379,,,0.01737,0.00038,0.92148,0.00347,0.0003026
79,202240,18.7,-0.3747,,,-0.01859,0.00032,0.89507,0.00457,0.0003
80,204800,19.2,-0.3754,-0.364,-0.3718,-0.00257,0.00032,0.91284,0.0054,0.0002974
81,207360,19.3,-0.3771,,,0.01364,0.00036,0.8908,0.00459,0.0002949
82,209920,19.5,-0.3741,,,-0.00795,0.00054,0.88016,0.00981,0.0002923
83,212480,19.6,-0.3753,,,-0.00404,0.00031,0.87186,0.00151,0.0002897
84,215040,19.8,-0.3719,,,-0.03947,0.00029,0.85594,0.00157,0.0002872
85,217600,19.9,-0.375,,,-0.01422,0.00035,0.84471,0.00237,0.0002846
86,220160,20.0,-0.374,,,-0.03246,0.0003,0.82688,0.0074,0.0002821
87,222720,20.2,-0.3742,,,0.01728,0.00032,0.84461,0.00442,0.0002795
88,225280,20.6,-0.3716,-0.364,-0.3703,-0.01089,0.00028,0.83287,0.00331,0.0002769
89,227840,20.8,-0.3731,,,-0.00302,0.00028,0.84606,0.00148,0.0002744
90,230400,20.9,-0.3743,,,0.00397,0.0003,0.82771,0.00551,0.0002718
91,232960,21.1,-0.3714,,,-0.01766,0.00029,0.80266,0.00631,0.0002692
92,235520,21.2,-0.37,,,-0.00869,0.00025,0.82018,0.01041,0.0002667
93,238080,21.4,-0.3724,,,-0.01251,0.00031,0.81149,0.00638,0.0002641
94,240640,21.5,-0.3709,,,0.02115,0.00034,0.80952,0.00346,0.0002615
95,243200,21.6,-0.3716,,,-0.02284,0.00025,0.79197,0.00321,0.000259
96,245760,22.1,-0.368,-0.364,-0.369,-0.03401,0.00024,0.77877,0.00553,0.0002564
97,248320,22.2,-0.3708,,,-0.02314,0.00025,0.77242,0.00555,0.0002538
98,250880,22.4,-0.3699,,,-0.02576,0.00021,0.782,0.00209,0.0002513
99,253440,22.5,-0.3714,,,0.01906,0.00024,0.77406,0.00254,0.0002487
100,256000,22.7,-0.3687,,,-0.03153,0.00022,0.74764,0.00921,0.0002462
101,258560,22.8,-0.3688,,,0.00544,0.00018,0.75659,0.00282,0.0002436
102,261120,22.9,-0.3676,,,0.00664,0.00019,0.7321,0.00484,0.000241
103,263680,23.1,-0.3694,,,0.01987,0.00021,0.7178,0.00307,0.0002385
104,266240,23.5,-0.3667,-0.364,-0.3685,-0.00362,0.00021,0.73659,0.03119,0.0002359
105,268800,23.6,-0.3665,,,-0.00195,0.00021,0.73501,0.00295,0.0002333
106,271360,23.8,-0.3659,,,-0.02223,0.00021,0.71257,0.00153,0.0002308
107,273920,23.9,-0.3655,,,-0.02103,0.00019,0.70122,0.01173,0.0002282
108,276480,24.1,-0.3662,,,-0.01284,0.0002,0.70478,0.00541,0.0002256
109,279040,24.2,-0.3662,,,-0.02079,0.00018,0.67664,0.01003,0.0002231
110,281600,24.3,-0.3665,,,-0.02723,0.00018,0.68305,0.00605,0.0002205
