update,global_step,elapsed_s,train_return,eval_argmax,eval_sample,policy_loss,value_loss,entropy,approx_kl,lr
1,1280,4.0,-0.4389,,,-0.06173,0.00227,4.07477,0.02006,0.0008
2,2560,4.2,-0.3866,,,0.03825,0.00301,4.03756,0.01951,0.0007979
3,3840,4.4,-0.379,,,-0.16879,0.00312,3.98444,0.01799,0.0007959
4,5120,4.7,-0.3451,,,-0.14754,0.00255,3.93759,0.01715,0.0007938
5,6400,4.9,-0.3383,,,-0.02975,0.00199,3.86246,0.01701,0.0007918
6,7680,5.2,-0.3108,,,-0.0678,0.00206,3.79967,0.01915,0.0007897
7,8960,5.5,-0.3001,,,-0.02564,0.00181,3.70424,0.01968,0.0007877
8,10240,6.1,-0.2928,-0.358,-0.2656,-0.07983,0.00265,3.64804,0.02329,0.0007856
9,11520,6.3,-0.2653,,,-0.08186,0.00196,3.59976,0.01911,0.0007836
10,12800,6.6,-0.2572,,,-0.04013,0.0018,3.5345,0.01858,0.0007815
11,14080,6.9,-0.242,,,-0.12633,0.00166,3.41555,0.01605,0.0007795
12,15360,7.2,-0.2262,,,-0.07101,0.00209,3.3269,0.01903,0.0007774
13,16640,7.4,-0.2119,,,-0.0586,0.00377,3.21157,0.01676,0.0007754
14,17920,7.7,-0.1894,,,-0.10592,0.00391,3.07259,0.02091,0.0007733
15,19200,7.9,-0.1882,,,0.08722,0.00155,2.88853,0.01702,0.0007713
16,20480,8.5,-0.1778,-0.289,-0.1603,0.08954,0.00159,2.75115,0.03065,0.0007692
17,21760,8.7,-0.1622,,,-0.15325,0.00118,2.7577,0.01883,0.0007672
18,23040,8.9,-0.1529,,,-0.04667,0.00126,2.51914,0.019,0.0007651
19,24320,9.2,-0.1397,,,0.03767,0.00103,2.70568,0.0237,0.0007631
20,25600,9.4,-0.1318,,,-5e-05,0.00096,2.58863,0.0329,0.000761
21,26880,9.7,-0.1152,,,0.01555,0.00063,2.39611,0.01551,0.000759
22,28160,9.9,-0.115,,,0.03941,0.00081,2.34108,0.037,0.0007569
23,29440,10.2,-0.1235,,,-0.00057,0.00055,2.11655,0.03849,0.0007549
24,30720,10.8,-0.1204,-0.078,-0.1085,0.08039,0.00083,2.29807,0.00981,0.0007528
25,32000,11.0,-0.1124,,,-0.0047,0.00107,2.25444,0.01246,0.0007508
26,33280,11.2,-0.1022,,,-0.04749,0.00065,2.18554,0.01931,0.0007487
27,34560,11.5,-0.1114,,,0.05482,0.00079,1.96402,0.05477,0.0007467
28,35840,11.7,-0.0958,,,-0.05587,0.00072,2.11678,0.01708,0.0007446
29,37120,11.9,-0.0888,,,-0.0382,0.00052,1.89517,0.01441,0.0007426
30,38400,12.2,-0.079,,,-0.08495,0.00061,1.80042,0.0507,0.0007405
31,39680,12.4,-0.0858,,,0.0853,0.00043,1.67723,0.01688,0.0007385
32,40960,12.9,-0.0862,-0.101,-0.0751,0.02684,0.00079,1.88298,0.05371,0.0007364
33,42240,13.2,-0.0794,,,-0.00615,0.00038,1.96171,0.02916,0.0007344
34,43520,13.4,-0.0705,,,-0.01532,0.00035,1.71319,0.04495,0.0007323
