rank  best_eval  uplift_vs_greedy  argmax   sample   lr       gamma  ent     epochs  mb   hidden  envs  anneal  trial
   1    -0.3120            0.3030   -0.312   -0.315  0.0005   0.99   0.003   8       2    256     256   True    sweep/trials/trial_0004
   2    -0.3129            0.3021   -0.313   -0.313  0.0008   0.97   0.03    8       8    128     128   True    sweep/trials/trial_0010
   3    -0.3130            0.3020   -0.313   -0.314  0.001    0.95   0.0     8       2    64      128   True    sweep/trials/trial_0005
   4    -0.3130            0.3020   -0.313   -0.341  0.0002   0.93   0.03    4       8    128     128   True    sweep/trials/trial_0006
   5    -0.3266            0.2884   -0.327   -0.327  0.001    0.93   0.003   8       4    256     512   False   sweep/trials/trial_0003
   6    -0.3589            0.2561   -0.364   -0.359  0.0001   0.95   0.03    8       2    128     128   False   sweep/trials/trial_0009
   7    -0.3611            0.2539   -0.364   -0.361  0.0005   0.93   0.0     2       8    256     512   False   sweep/trials/trial_0011
   8    -0.3630            0.2520   -0.363   -0.363  0.001    0.97   0.01    2       4    128     128   False   sweep/trials/trial_0002
   9    -0.3640            0.2510   -0.364   -0.372  0.0008   0.95   0.0     2       4    256     512   False   sweep/trials/trial_0000
  10    -0.3780            0.2370   -0.378   -0.379  0.0008   0.95   0.03    2       8    256     128   False   sweep/trials/trial_0008
  11    -0.4130            0.2020   -0.413   -0.418  0.0002   0.9    0.001   2       4    256     256   True    sweep/trials/trial_0007
  12    -0.4552            0.1598   -0.964   -0.455  0.0002   0.97   0.0     4       2    64      256   True    sweep/trials/trial_0001
